Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Influenza,States,NY-Rest of state,2019,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,58
Influenza,States,North Carolina,2019,Race/Ethnicity ,"Black, Non-Hispanic",55.2,45.5 to 64.6,176
Influenza,States,North Dakota,2019,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Oregon,2019,Race/Ethnicity ,"Black, Non-Hispanic",60.6,53.7 to 67.2,211
Influenza,States,Pennsylvania,2019,Race/Ethnicity ,"Black, Non-Hispanic",56.6,44.6 to 68.1,159
Influenza,States,Puerto Rico,2019,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,National,United States,2019,Race/Ethnicity ,"Black, Non-Hispanic",44.5,42.6 to 46.4,7583
Influenza,States,Rhode Island,2019,Race/Ethnicity ,"Black, Non-Hispanic",76.1,60.6 to 87.8,68
Influenza,States,South Dakota,2019,Race/Ethnicity ,"Black, Non-Hispanic",69.7,56.2 to 81.1,58
Influenza,States,Tennessee,2019,Race/Ethnicity ,"Black, Non-Hispanic",37.6,26.0 to 50.3,156
Influenza,States,Utah,2019,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Virginia,2019,Race/Ethnicity ,"Black, Non-Hispanic",53.6,41.7 to 65.2,213
Influenza,States,Washington,2019,Race/Ethnicity ,"Black, Non-Hispanic",67.6,59.0 to 75.4,136
Influenza,States,Wisconsin,2019,Race/Ethnicity ,"Black, Non-Hispanic",53.3,46.4 to 60.1,229
Influenza,States,Wyoming,2019,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Alaska,2012,Race/Ethnicity ,Hispanic,NR*,NR*,45
Influenza,States,Arkansas,2012,Race/Ethnicity ,Hispanic,NR*,NR*,57
Influenza,States,Colorado,2012,Race/Ethnicity ,Hispanic,58.2,49.3 to 66.7,259
Influenza,States,Delaware,2012,Race/Ethnicity ,Hispanic,57.8,48.2 to 66.9,120
Influenza,States,Georgia,2012,Race/Ethnicity ,Hispanic,30.6,20.9 to 41.8,129
Influenza,States,Hawaii,2012,Race/Ethnicity ,Hispanic,40.7,32.2 to 49.7,227
Influenza,States,Illinois,2012,Race/Ethnicity ,Hispanic,47.7,40.9 to 54.5,251
Influenza,States,Maine,2012,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2012,Race/Ethnicity ,Hispanic,62.8,52.1 to 72.6,125
Influenza,States,Massachusetts,2012,Race/Ethnicity ,Hispanic,68.8,62.9 to 74.3,347
Influenza,States,Michigan,2012,Race/Ethnicity ,Hispanic,NR*,NR*,57
Influenza,States,Minnesota,2012,Race/Ethnicity ,Hispanic,76.0,62.8 to 86.3,63
Influenza,States,Missouri,2012,Race/Ethnicity ,Hispanic,NR*,NR*,32
Influenza,States,Nebraska,2012,Race/Ethnicity ,Hispanic,59.8,52.5 to 66.8,193
Influenza,States,New Jersey,2012,Race/Ethnicity ,Hispanic,35.0,28.7 to 41.7,239
Influenza,States,New Mexico,2012,Race/Ethnicity ,Hispanic,46.8,41.8 to 51.8,472
Influenza,States,New York,2012,Race/Ethnicity ,Hispanic,41.4,35.6 to 47.4,454
Influenza,States,NY-City of New York,2012,Race/Ethnicity ,Hispanic,41.4,35.6 to 47.4,454
Influenza,States,Ohio,2012,Race/Ethnicity ,Hispanic,28.3,16.4 to 43.0,60
Influenza,States,Oklahoma,2012,Race/Ethnicity ,Hispanic,36.3,25.7 to 48.0,213
Influenza,States,Oregon,2012,Race/Ethnicity ,Hispanic,51.9,44.5 to 59.2,200
Influenza,States,Pennsylvania,2012,Race/Ethnicity ,Hispanic,39.0,25.9 to 53.4,68
Influenza,National,United States,2012,Race/Ethnicity ,Hispanic,47.9,45.8 to 50.0,4651
Influenza,States,Rhode Island,2012,Race/Ethnicity ,Hispanic,67.7,61.1 to 73.8,238
Influenza,States,Tennessee,2012,Race/Ethnicity ,Hispanic,48.1,33.5 to 62.9,68
Influenza,States,Utah,2012,Race/Ethnicity ,Hispanic,59.5,52.5 to 66.2,326
Influenza,States,Washington,2012,Race/Ethnicity ,Hispanic,61.5,52.8 to 69.7,137
Influenza,States,West Virginia,2012,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2012,Race/Ethnicity ,Hispanic,57.0,49.8 to 64.0,198
Influenza,States,Wyoming,2012,Race/Ethnicity ,Hispanic,NR*,NR*,59
Influenza,States,Alaska,2013,Race/Ethnicity ,Hispanic,53.1,38.0 to 67.8,113
Influenza,States,Arkansas,2013,Race/Ethnicity ,Hispanic,NR*,NR*,76
Influenza,States,Colorado,2013,Race/Ethnicity ,Hispanic,72.2,65.7 to 78.1,390
Influenza,States,Delaware,2013,Race/Ethnicity ,Hispanic,65.5,56.3 to 73.9,124
Influenza,States,Georgia,2013,Race/Ethnicity ,Hispanic,NR*,NR*,59
Influenza,States,Hawaii,2013,Race/Ethnicity ,Hispanic,44.2,35.3 to 53.4,238
Influenza,States,Illinois,2013,Race/Ethnicity ,Hispanic,56.0,49.6 to 62.3,289
Influenza,States,Iowa,2013,Race/Ethnicity ,Hispanic,59.5,54.5 to 64.4,398
Influenza,States,Maine,2013,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2013,Race/Ethnicity ,Hispanic,54.5,45.7 to 63.1,188
Influenza,States,Massachusetts,2013,Race/Ethnicity ,Hispanic,72.8,66.4 to 78.5,327
Influenza,States,Michigan,2013,Race/Ethnicity ,Hispanic,NR*,NR*,61
Influenza,States,Minnesota,2013,Race/Ethnicity ,Hispanic,76.8,62.8 to 87.5,64
Influenza,States,Missouri,2013,Race/Ethnicity ,Hispanic,NR*,NR*,46
Influenza,States,Nebraska,2013,Race/Ethnicity ,Hispanic,58.6,52.9 to 64.1,311
Influenza,States,New Hampshire,2013,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,New Jersey,2013,Race/Ethnicity ,Hispanic,43.3,36.3 to 50.5,217
Influenza,States,New Mexico,2013,Race/Ethnicity ,Hispanic,57.9,54.0 to 61.7,742
Influenza,States,New York,2013,Race/Ethnicity ,Hispanic,46.1,40.7 to 51.5,623
Influenza,States,NY-City of New York,2013,Race/Ethnicity ,Hispanic,42.9,37.2 to 48.7,439
Influenza,States,NY-Rest of state,2013,Race/Ethnicity ,Hispanic,52.8,41.1 to 64.2,184
Influenza,States,Oklahoma,2013,Race/Ethnicity ,Hispanic,40.4,29.1 to 52.5,235
Influenza,States,Oregon,2013,Race/Ethnicity ,Hispanic,65.2,60.3 to 69.9,412
Influenza,States,Pennsylvania,2013,Race/Ethnicity ,Hispanic,57.2,44.9 to 68.9,90
Influenza,National,United States,2013,Race/Ethnicity ,Hispanic,55.4,53.4 to 57.4,6081
Influenza,States,Rhode Island,2013,Race/Ethnicity ,Hispanic,73.5,67.5 to 78.9,276
Influenza,States,Tennessee,2013,Race/Ethnicity ,Hispanic,NR*,NR*,49
Influenza,States,Utah,2013,Race/Ethnicity ,Hispanic,67.2,60.7 to 73.3,309
Influenza,States,Washington,2013,Race/Ethnicity ,Hispanic,67.4,59.2 to 74.9,151
Influenza,States,West Virginia,2013,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2013,Race/Ethnicity ,Hispanic,66.7,59.5 to 73.3,197
Influenza,States,Wyoming,2013,Race/Ethnicity ,Hispanic,NR*,NR*,58
Influenza,States,Alabama,2014,Race/Ethnicity ,Hispanic,38.0,24.1 to 53.5,46
Influenza,States,Alaska,2014,Race/Ethnicity ,Hispanic,66.6,50.5 to 80.3,129
Influenza,States,Connecticut,2014,Race/Ethnicity ,Hispanic,66.5,61.3 to 71.4,358
Influenza,States,Delaware,2014,Race/Ethnicity ,Hispanic,75.8,67.1 to 83.1,123
Influenza,States,Hawaii,2014,Race/Ethnicity ,Hispanic,47.0,36.4 to 57.8,179
Influenza,States,Illinois,2014,Race/Ethnicity ,Hispanic,53.7,47.4 to 59.9,298
Influenza,States,Iowa,2014,Race/Ethnicity ,Hispanic,67.9,63.1 to 72.5,397
Influenza,States,Maine,2014,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2014,Race/Ethnicity ,Hispanic,55.6,47.6 to 63.4,207
Influenza,States,Massachusetts,2014,Race/Ethnicity ,Hispanic,73.8,68.7 to 78.5,358
Influenza,States,Missouri,2014,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Nebraska,2014,Race/Ethnicity ,Hispanic,60.3,54.7 to 65.7,317
Influenza,States,New Hampshire,2014,Race/Ethnicity ,Hispanic,NR*,NR*,35
Influenza,States,New Jersey,2014,Race/Ethnicity ,Hispanic,47.5,41.8 to 53.3,352
Influenza,States,New Mexico,2014,Race/Ethnicity ,Hispanic,62.6,58.5 to 66.5,658
Influenza,States,New York,2014,Race/Ethnicity ,Hispanic,59.9,54.6 to 65.0,499
Influenza,States,NY-City of New York,2014,Race/Ethnicity ,Hispanic,57.3,51.7 to 62.7,372
Influenza,States,NY-Rest of state,2014,Race/Ethnicity ,Hispanic,65.2,53.3 to 75.8,127
Influenza,States,Ohio,2014,Race/Ethnicity ,Hispanic,NR*,NR*,49
Influenza,States,Oklahoma,2014,Race/Ethnicity ,Hispanic,48.1,34.9 to 61.5,212
Influenza,States,Pennsylvania,2014,Race/Ethnicity ,Hispanic,50.0,37.1 to 62.9,95
Influenza,National,United States,2014,Race/Ethnicity ,Hispanic,58.4,56.4 to 60.4,5411
Influenza,States,Rhode Island,2014,Race/Ethnicity ,Hispanic,74.7,68.9 to 79.9,306
Influenza,States,Tennessee,2014,Race/Ethnicity ,Hispanic,NR*,NR*,50
Influenza,States,Utah,2014,Race/Ethnicity ,Hispanic,62.0,54.2 to 69.4,241
Influenza,States,Washington,2014,Race/Ethnicity ,Hispanic,70.2,62.7 to 77.0,177
Influenza,States,West Virginia,2014,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2014,Race/Ethnicity ,Hispanic,69.3,62.2 to 75.8,190
Influenza,States,Wyoming,2014,Race/Ethnicity ,Hispanic,38.4,24.8 to 53.4,75
Influenza,States,Alabama,2015,Race/Ethnicity ,Hispanic,38.9,27.5 to 51.3,70
Influenza,States,Alaska,2015,Race/Ethnicity ,Hispanic,58.4,44.7 to 71.2,137
Influenza,States,Arkansas,2015,Race/Ethnicity ,Hispanic,61.9,46.1 to 76.0,75
Influenza,States,Colorado,2015,Race/Ethnicity ,Hispanic,71.6,65.2 to 77.5,389
Influenza,States,Connecticut,2015,Race/Ethnicity ,Hispanic,70.0,64.1 to 75.5,274
Influenza,States,Delaware,2015,Race/Ethnicity ,Hispanic,63.1,53.7 to 71.8,125
Influenza,States,Hawaii,2015,Race/Ethnicity ,Hispanic,58.0,47.9 to 67.6,179
Influenza,States,Illinois,2015,Race/Ethnicity ,Hispanic,55.1,48.4 to 61.6,265
Influenza,States,Iowa,2015,Race/Ethnicity ,Hispanic,66.1,61.1 to 70.9,379
Influenza,States,Louisiana,2015,Race/Ethnicity ,Hispanic,49.6,36.4 to 62.9,94
Influenza,States,Maine,2015,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2015,Race/Ethnicity ,Hispanic,58.6,50.8 to 66.1,216
Influenza,States,Massachusetts,2015,Race/Ethnicity ,Hispanic,76.0,70.7 to 80.8,333
Influenza,States,Michigan,2015,Race/Ethnicity ,Hispanic,NR*,NR*,47
Influenza,States,Missouri,2015,Race/Ethnicity ,Hispanic,NR*,NR*,40
Influenza,States,Nebraska,2015,Race/Ethnicity ,Hispanic,65.1,59.2 to 70.6,284
Influenza,States,New Hampshire,2015,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,New Jersey,2015,Race/Ethnicity ,Hispanic,48.1,42.0 to 54.2,291
Influenza,States,New Mexico,2015,Race/Ethnicity ,Hispanic,58.4,54.4 to 62.3,628
Influenza,States,New York,2015,Race/Ethnicity ,Hispanic,62.0,56.9 to 66.9,548
Influenza,States,NY-City of New York,2015,Race/Ethnicity ,Hispanic,63.3,58.1 to 68.3,425
Influenza,States,NY-Rest of state,2015,Race/Ethnicity ,Hispanic,59.3,47.2 to 70.6,123
Influenza,States,Ohio,2015,Race/Ethnicity ,Hispanic,NR*,NR*,58
Influenza,States,Oklahoma,2015,Race/Ethnicity ,Hispanic,53.3,42.0 to 64.4,236
Influenza,States,Oregon,2015,Race/Ethnicity ,Hispanic,68.0,63.0 to 72.7,393
Influenza,States,Pennsylvania,2015,Race/Ethnicity ,Hispanic,56.7,44.3 to 68.6,94
Influenza,National,United States,2015,Race/Ethnicity ,Hispanic,60.0,57.4 to 62.6,6465
Influenza,States,Tennessee,2015,Race/Ethnicity ,Hispanic,NR*,NR*,81
Influenza,States,Texas,2015,Race/Ethnicity ,Hispanic,58.8,52.7 to 64.7,389
Influenza,States,Utah,2015,Race/Ethnicity ,Hispanic,70.9,63.6 to 77.5,285
Influenza,States,Virginia,2015,Race/Ethnicity ,Hispanic,60.0,46.7 to 72.3,93
Influenza,States,Washington,2015,Race/Ethnicity ,Hispanic,69.7,61.9 to 76.7,163
Influenza,States,West Virginia,2015,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2015,Race/Ethnicity ,Hispanic,64.6,57.3 to 71.4,197
Influenza,States,Wyoming,2015,Race/Ethnicity ,Hispanic,NR*,NR*,49
Influenza,States,Alaska,2016,Race/Ethnicity ,Hispanic,72.3,58.5 to 83.6,117
Influenza,States,Arkansas,2016,Race/Ethnicity ,Hispanic,73.4,58.7 to 85.1,87
Influenza,States,Colorado,2016,Race/Ethnicity ,Hispanic,67.2,60.2 to 73.7,385
Influenza,States,Connecticut,2016,Race/Ethnicity ,Hispanic,70.4,65.3 to 75.2,344
Influenza,States,Delaware,2016,Race/Ethnicity ,Hispanic,69.0,59.9 to 77.1,126
Influenza,States,Hawaii,2016,Race/Ethnicity ,Hispanic,55.7,44.8 to 66.2,159
Influenza,States,Illinois,2016,Race/Ethnicity ,Hispanic,51.0,43.6 to 58.3,240
Influenza,States,Iowa,2016,Race/Ethnicity ,Hispanic,69.4,63.7 to 74.7,290
Influenza,States,Louisiana,2016,Race/Ethnicity ,Hispanic,NR*,NR*,44
Influenza,States,Maine,2016,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2016,Race/Ethnicity ,Hispanic,64.3,56.4 to 71.7,194
Influenza,States,Massachusetts,2016,Race/Ethnicity ,Hispanic,79.6,74.5 to 84.0,323
Influenza,States,Michigan,2016,Race/Ethnicity ,Hispanic,60.0,45.4 to 73.4,71
Influenza,States,Missouri,2016,Race/Ethnicity ,Hispanic,64.9,50.1 to 77.9,63
Influenza,States,Nebraska,2016,Race/Ethnicity ,Hispanic,70.1,64.3 to 75.4,278
Influenza,States,New Hampshire,2016,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,New Jersey,2016,Race/Ethnicity ,Hispanic,50.0,44.4 to 55.6,334
Influenza,States,New Mexico,2016,Race/Ethnicity ,Hispanic,63.8,59.8 to 67.6,614
Influenza,States,New York,2016,Race/Ethnicity ,Hispanic,61.3,56.2 to 66.2,550
Influenza,States,NY-City of New York,2016,Race/Ethnicity ,Hispanic,60.1,54.7 to 65.3,394
Influenza,States,NY-Rest of state,2016,Race/Ethnicity ,Hispanic,63.3,52.7 to 73.0,156
Influenza,States,Oklahoma,2016,Race/Ethnicity ,Hispanic,58.5,53.7 to 63.2,435
Influenza,States,Pennsylvania,2016,Race/Ethnicity ,Hispanic,74.0,62.3 to 83.7,99
Influenza,National,United States,2016,Race/Ethnicity ,Hispanic,61.4,59.3 to 63.4,6705
Influenza,States,Rhode Island,2016,Race/Ethnicity ,Hispanic,78.8,72.8 to 84.0,273
Influenza,States,Texas,2016,Race/Ethnicity ,Hispanic,58.8,54.5 to 63.0,851
Influenza,States,Utah,2016,Race/Ethnicity ,Hispanic,66.9,59.1 to 74.0,237
Influenza,States,Virginia,2016,Race/Ethnicity ,Hispanic,66.9,53.3 to 78.7,92
Influenza,States,Washington,2016,Race/Ethnicity ,Hispanic,74.3,68.0 to 80.0,228
Influenza,States,West Virginia,2016,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2016,Race/Ethnicity ,Hispanic,71.3,63.3 to 78.4,163
Influenza,States,Wyoming,2016,Race/Ethnicity ,Hispanic,54.5,39.8 to 68.6,74
Influenza,States,Alabama,2017,Race/Ethnicity ,Hispanic,49.3,37.2 to 61.5,76
Influenza,States,Alaska,2017,Race/Ethnicity ,Hispanic,NR*,NR*,83
Influenza,States,Colorado,2017,Race/Ethnicity ,Hispanic,74.2,68.1 to 79.6,260
Influenza,States,Connecticut,2017,Race/Ethnicity ,Hispanic,67.9,63.1 to 72.4,440
Influenza,States,Delaware,2017,Race/Ethnicity ,Hispanic,67.7,59.4 to 75.2,145
Influenza,States,Georgia,2017,Race/Ethnicity ,Hispanic,39.0,28.2 to 50.7,122
Influenza,States,Illinois,2017,Race/Ethnicity ,Hispanic,57.6,50.2 to 64.8,233
Influenza,States,Iowa,2017,Race/Ethnicity ,Hispanic,71.5,66.1 to 76.4,312
Influenza,States,Kansas,2017,Race/Ethnicity ,Hispanic,65.4,51.0 to 78.0,90
Influenza,States,Kentucky,2017,Race/Ethnicity ,Hispanic,NR*,NR*,30
Influenza,States,Louisiana,2017,Race/Ethnicity ,Hispanic,56.1,42.0 to 69.5,55
Influenza,States,Maine,2017,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2017,Race/Ethnicity ,Hispanic,67.4,59.9 to 74.3,206
Influenza,States,Massachusetts,2017,Race/Ethnicity ,Hispanic,70.7,65.6 to 75.5,402
Influenza,States,Michigan,2017,Race/Ethnicity ,Hispanic,49.9,35.9 to 63.9,70
Influenza,States,Missouri,2017,Race/Ethnicity ,Hispanic,NR*,NR*,39
Influenza,States,Montana,2017,Race/Ethnicity ,Hispanic,68.7,52.3 to 82.3,41
Influenza,States,New Hampshire,2017,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,New Jersey,2017,Race/Ethnicity ,Hispanic,52.4,46.4 to 58.3,307
Influenza,States,New Mexico,2017,Race/Ethnicity ,Hispanic,63.9,59.8 to 67.8,611
Influenza,States,New York,2017,Race/Ethnicity ,Hispanic,61.2,54.5 to 67.6,444
Influenza,States,NY-City of New York,2017,Race/Ethnicity ,Hispanic,65.8,60.0 to 71.3,344
Influenza,States,NY-Rest of state,2017,Race/Ethnicity ,Hispanic,54.1,39.7 to 68.0,100
Influenza,States,North Carolina,2017,Race/Ethnicity ,Hispanic,68.3,58.9 to 76.7,153
Influenza,States,North Dakota,2017,Race/Ethnicity ,Hispanic,NR*,NR*,32
Influenza,States,Oklahoma,2017,Race/Ethnicity ,Hispanic,56.9,51.9 to 61.8,402
Influenza,States,Pennsylvania,2017,Race/Ethnicity ,Hispanic,63.7,51.6 to 74.6,107
Influenza,States,Puerto Rico,2017,Race/Ethnicity ,Hispanic,25.2,21.7 to 28.9,948
Influenza,National,United States,2017,Race/Ethnicity ,Hispanic,59.9,58.0 to 61.8,6923
Influenza,States,Rhode Island,2017,Race/Ethnicity ,Hispanic,82.0,76.9 to 86.4,302
Influenza,States,South Dakota,2017,Race/Ethnicity ,Hispanic,76.7,68.3 to 83.8,126
Influenza,States,Utah,2017,Race/Ethnicity ,Hispanic,61.0,53.2 to 68.4,294
Influenza,States,Virginia,2017,Race/Ethnicity ,Hispanic,69.2,56.1 to 80.4,140
Influenza,States,Washington,2017,Race/Ethnicity ,Hispanic,74.3,67.6 to 80.2,197
Influenza,States,West Virginia,2017,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2017,Race/Ethnicity ,Hispanic,64.2,56.4 to 71.5,169
Influenza,States,Wyoming,2017,Race/Ethnicity ,Hispanic,NR*,NR*,42
Influenza,States,Alabama,2018,Race/Ethnicity ,Hispanic,48.1,35.7 to 60.7,73
Influenza,States,Alaska,2018,Race/Ethnicity ,Hispanic,61.0,45.4 to 75.1,67
Influenza,States,Arkansas,2018,Race/Ethnicity ,Hispanic,NR*,NR*,66
Influenza,States,Colorado,2018,Race/Ethnicity ,Hispanic,72.4,65.7 to 78.4,254
Influenza,States,Connecticut,2018,Race/Ethnicity ,Hispanic,67.3,62.2 to 72.1,443
Influenza,States,Delaware,2018,Race/Ethnicity ,Hispanic,74.7,65.5 to 82.5,115
Influenza,States,District of Columbia,2018,Race/Ethnicity ,Hispanic,86.8,76.4 to 93.8,71
Influenza,States,Georgia,2018,Race/Ethnicity ,Hispanic,43.5,32.2 to 55.3,120
Influenza,States,Illinois,2018,Race/Ethnicity ,Hispanic,60.2,53.0 to 67.1,236
Influenza,States,Indiana,2018,Race/Ethnicity ,Hispanic,64.1,49.4 to 77.1,110
Influenza,States,Iowa,2018,Race/Ethnicity ,Hispanic,71.1,65.4 to 76.4,277
Influenza,States,Kansas,2018,Race/Ethnicity ,Hispanic,63.2,49.2 to 75.8,106
Influenza,States,Kentucky,2018,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Louisiana,2018,Race/Ethnicity ,Hispanic,54.6,40.5 to 68.2,57
Influenza,States,Maine,2018,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2018,Race/Ethnicity ,Hispanic,71.9,63.3 to 79.5,189
Influenza,States,Massachusetts,2018,Race/Ethnicity ,Hispanic,76.6,72.1 to 80.7,400
Influenza,States,Michigan,2018,Race/Ethnicity ,Hispanic,53.3,38.8 to 67.4,68
Influenza,States,Minnesota,2018,Race/Ethnicity ,Hispanic,NR*,NR*,56
Influenza,States,Mississippi,2018,Race/Ethnicity ,Hispanic,NR*,NR*,36
Influenza,States,Missouri,2018,Race/Ethnicity ,Hispanic,NR*,NR*,49
Influenza,States,Montana,2018,Race/Ethnicity ,Hispanic,NR*,NR*,34
Influenza,States,Nebraska,2018,Race/Ethnicity ,Hispanic,73.2,68.2 to 77.8,344
Influenza,States,New Hampshire,2018,Race/Ethnicity ,Hispanic,NR*,NR*,33
Influenza,States,New Jersey,2018,Race/Ethnicity ,Hispanic,50.6,44.9 to 56.3,324
Influenza,States,New Mexico,2018,Race/Ethnicity ,Hispanic,63.0,59.0 to 66.9,636
Influenza,States,New York,2018,Race/Ethnicity ,Hispanic,59.1,52.4 to 65.6,438
Influenza,States,NY-City of New York,2018,Race/Ethnicity ,Hispanic,67.0,61.1 to 72.5,341
Influenza,States,NY-Rest of state,2018,Race/Ethnicity ,Hispanic,46.5,32.4 to 61.0,97
Influenza,States,North Carolina,2018,Race/Ethnicity ,Hispanic,71.7,62.8 to 79.5,153
Influenza,States,North Dakota,2018,Race/Ethnicity ,Hispanic,NR*,NR*,35
Influenza,States,Oklahoma,2018,Race/Ethnicity ,Hispanic,60.1,54.7 to 65.3,346
Influenza,States,Oregon,2018,Race/Ethnicity ,Hispanic,68.9,64.3 to 73.3,443
Influenza,States,Pennsylvania,2018,Race/Ethnicity ,Hispanic,64.3,50.1 to 76.9,73
Influenza,States,Puerto Rico,2018,Race/Ethnicity ,Hispanic,30.7,26.9 to 34.7,894
Influenza,National,United States,2018,Race/Ethnicity ,Hispanic,60.9,59.2 to 62.6,7808
Influenza,States,Rhode Island,2018,Race/Ethnicity ,Hispanic,75.8,69.5 to 81.4,290
Influenza,States,South Dakota,2018,Race/Ethnicity ,Hispanic,72.1,63.5 to 79.6,129
Influenza,States,Utah,2018,Race/Ethnicity ,Hispanic,63.8,55.1 to 71.9,248
Influenza,States,Virginia,2018,Race/Ethnicity ,Hispanic,64.5,49.9 to 77.3,135
Influenza,States,Washington,2018,Race/Ethnicity ,Hispanic,72.0,64.9 to 78.4,187
Influenza,States,West Virginia,2018,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Wisconsin,2018,Race/Ethnicity ,Hispanic,72.1,64.2 to 79.1,152
Influenza,States,Wyoming,2018,Race/Ethnicity ,Hispanic,NR*,NR*,67
Influenza,States,Alabama,2019,Race/Ethnicity ,Hispanic,53.8,40.1 to 67.1,57
Influenza,States,Alaska,2019,Race/Ethnicity ,Hispanic,61.9,46.4 to 75.8,65
Influenza,States,Arkansas,2019,Race/Ethnicity ,Hispanic,68.1,52.8 to 81.0,95
Influenza,States,Colorado,2019,Race/Ethnicity ,Hispanic,76.2,69.4 to 82.2,247
Influenza,States,Connecticut,2019,Race/Ethnicity ,Hispanic,72.3,67.4 to 76.8,386
Influenza,States,Delaware,2019,Race/Ethnicity ,Hispanic,68.0,59.6 to 75.6,157
Influenza,States,District of Columbia,2019,Race/Ethnicity ,Hispanic,84.4,73.6 to 92.0,78
Influenza,States,Florida,2019,Race/Ethnicity ,Hispanic,42.3,34.7 to 50.1,230
Influenza,States,Georgia,2019,Race/Ethnicity ,Hispanic,45.7,32.9 to 58.9,104
Influenza,States,Hawaii,2019,Race/Ethnicity ,Hispanic,67.9,53.0 to 80.6,73
Influenza,States,Illinois,2019,Race/Ethnicity ,Hispanic,65.4,58.5 to 71.8,258
Influenza,States,Iowa,2019,Race/Ethnicity ,Hispanic,74.1,68.4 to 79.2,278
Influenza,States,Kansas,2019,Race/Ethnicity ,Hispanic,62.8,50.8 to 73.8,128
Influenza,States,Kentucky,2019,Race/Ethnicity ,Hispanic,NR*,NR*,49
Influenza,States,Louisiana,2019,Race/Ethnicity ,Hispanic,59.7,46.5 to 71.9,117
Influenza,States,Maine,2019,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,Maryland,2019,Race/Ethnicity ,Hispanic,72.3,63.9 to 79.7,178
Influenza,States,Massachusetts,2019,Race/Ethnicity ,Hispanic,74.5,69.9 to 78.8,409
Influenza,States,Michigan,2019,Race/Ethnicity ,Hispanic,63.6,49.3 to 76.3,73
Influenza,States,Minnesota,2019,Race/Ethnicity ,Hispanic,76.0,61.0 to 87.4,63
Influenza,States,Mississippi,2019,Race/Ethnicity ,Hispanic,NR*,NR*,31
Influenza,States,Missouri,2019,Race/Ethnicity ,Hispanic,NR*,NR*,60
Influenza,States,Montana,2019,Race/Ethnicity ,Hispanic,NR*,NR*,40
Influenza,States,Nebraska,2019,Race/Ethnicity ,Hispanic,76.0,71.7 to 79.9,443
Influenza,States,New Hampshire,2019,Race/Ethnicity ,Hispanic,NR*,NR*,
Influenza,States,New Jersey,2019,Race/Ethnicity ,Hispanic,50.6,44.8 to 56.4,310
Influenza,States,New Mexico,2019,Race/Ethnicity ,Hispanic,65.7,61.4 to 69.8,549
Influenza,States,New York,2019,Race/Ethnicity ,Hispanic,65.7,58.7 to 72.2,442
Influenza,States,NY-City of New York,2019,Race/Ethnicity ,Hispanic,67.0,61.0 to 72.6,337
Influenza,States,NY-Rest of state,2019,Race/Ethnicity ,Hispanic,63.8,48.2 to 77.5,105
Influenza,States,North Carolina,2019,Race/Ethnicity ,Hispanic,78.7,70.0 to 85.8,152
Influenza,States,North Dakota,2019,Race/Ethnicity ,Hispanic,NR*,NR*,32
Influenza,States,Oregon,2019,Race/Ethnicity ,Hispanic,72.3,68.6 to 75.8,646
Influenza,States,Pennsylvania,2019,Race/Ethnicity ,Hispanic,70.8,58.5 to 81.2,106
Influenza,States,Puerto Rico,2019,Race/Ethnicity ,Hispanic,35.8,32.0 to 39.8,943
Influenza,National,United States,2019,Race/Ethnicity ,Hispanic,61.4,59.4 to 63.3,8173
Influenza,States,Rhode Island,2019,Race/Ethnicity ,Hispanic,84.6,79.1 to 89.1,312
Influenza,States,South Dakota,2019,Race/Ethnicity ,Hispanic,77.3,69.8 to 83.7,150
